DIRECTION,STUDY_DATE,VOLUME
E,01/02/2023 11:45:00 PM,44
W,01/03/2023 12:00:00 AM,46
E,01/03/2023 12:00:00 AM,53
W,01/03/2023 12:15:00 AM,55
E,01/03/2023 12:15:00 AM,30
W,01/03/2023 12:30:00 AM,55
E,01/03/2023 12:30:00 AM,35
W,01/03/2023 12:45:00 AM,37
E,01/03/2023 12:45:00 AM,33
W,01/03/2023 01:00:00 AM,35
E,01/03/2023 01:00:00 AM,29
W,01/03/2023 01:15:00 AM,25
E,01/03/2023 01:15:00 AM,16
W,01/03/2023 01:30:00 AM,17
E,01/03/2023 01:30:00 AM,20
W,01/03/2023 01:45:00 AM,32
E,01/03/2023 01:45:00 AM,25
W,01/03/2023 02:00:00 AM,8
E,01/03/2023 02:00:00 AM,20
W,01/03/2023 02:15:00 AM,26
E,01/03/2023 02:15:00 AM,13
W,01/03/2023 02:30:00 AM,15
E,01/03/2023 02:30:00 AM,27
W,01/03/2023 02:45:00 AM,19
E,01/03/2023 02:45:00 AM,21
W,01/03/2023 03:00:00 AM,16
E,01/03/2023 03:00:00 AM,23
W,01/03/2023 03:15:00 AM,21
E,01/03/2023 03:15:00 AM,22
W,01/03/2023 03:30:00 AM,17
E,01/03/2023 03:30:00 AM,28
W,01/03/2023 03:45:00 AM,19
E,01/03/2023 03:45:00 AM,26
W,01/03/2023 04:00:00 AM,22
E,01/03/2023 04:00:00 AM,25
W,01/03/2023 04:15:00 AM,19
E,01/03/2023 04:15:00 AM,29
W,01/03/2023 04:30:00 AM,22
E,01/03/2023 04:30:00 AM,67
W,01/03/2023 04:45:00 AM,26
E,01/03/2023 04:45:00 AM,45
W,01/03/2023 05:00:00 AM,28
E,01/03/2023 05:00:00 AM,77
W,01/03/2023 05:15:00 AM,45
E,01/03/2023 05:15:00 AM,114
W,01/03/2023 05:30:00 AM,61
E,01/03/2023 05:30:00 AM,196
W,01/03/2023 05:45:00 AM,75
E,01/03/2023 05:45:00 AM,185
W,01/03/2023 06:00:00 AM,70
E,01/03/2023 06:00:00 AM,268
W,01/03/2023 06:15:00 AM,122
E,01/03/2023 06:15:00 AM,386
W,01/03/2023 06:30:00 AM,155
E,01/03/2023 06:30:00 AM,594
W,01/03/2023 06:45:00 AM,194
E,01/03/2023 06:45:00 AM,613
W,01/03/2023 07:00:00 AM,183
E,01/03/2023 07:00:00 AM,704
W,01/03/2023 07:15:00 AM,235
E,01/03/2023 07:15:00 AM,840
W,01/03/2023 07:30:00 AM,303
E,01/03/2023 07:30:00 AM,873
W,01/03/2023 07:45:00 AM,337
E,01/03/2023 07:45:00 AM,701
W,01/03/2023 08:00:00 AM,294
E,01/03/2023 08:00:00 AM,631
W,01/03/2023 08:15:00 AM,321
E,01/03/2023 08:15:00 AM,593
W,01/03/2023 08:30:00 AM,364
E,01/03/2023 08:30:00 AM,667
W,01/03/2023 08:45:00 AM,350
E,01/03/2023 08:45:00 AM,600
W,01/03/2023 09:00:00 AM,364
E,01/03/2023 09:00:00 AM,477
W,01/03/2023 09:15:00 AM,360
E,01/03/2023 09:15:00 AM,505
W,01/03/2023 09:30:00 AM,354
E,01/03/2023 09:30:00 AM,506
W,01/03/2023 09:45:00 AM,386
E,01/03/2023 09:45:00 AM,551
W,01/03/2023 10:00:00 AM,376
E,01/03/2023 10:00:00 AM,435
W,01/03/2023 10:15:00 AM,421
E,01/03/2023 10:15:00 AM,526
W,01/03/2023 10:30:00 AM,428
E,01/03/2023 10:30:00 AM,528
W,01/03/2023 10:45:00 AM,420
E,01/03/2023 10:45:00 AM,493
W,01/03/2023 11:00:00 AM,427
E,01/03/2023 11:00:00 AM,494
W,01/03/2023 11:15:00 AM,455
E,01/03/2023 11:15:00 AM,495
W,01/03/2023 11:30:00 AM,479
E,01/03/2023 11:30:00 AM,538
W,01/03/2023 11:45:00 AM,508
E,01/03/2023 11:45:00 AM,511
W,01/03/2023 12:00:00 PM,502
E,01/03/2023 12:00:00 PM,528
W,01/03/2023 12:15:00 PM,495
E,01/03/2023 12:15:00 PM,533
W,01/03/2023 12:30:00 PM,507
E,01/03/2023 12:30:00 PM,559
W,01/03/2023 12:45:00 PM,553
E,01/03/2023 12:45:00 PM,580
W,01/03/2023 01:00:00 PM,584
E,01/03/2023 01:00:00 PM,485
W,01/03/2023 01:15:00 PM,582
E,01/03/2023 01:15:00 PM,499
W,01/03/2023 01:30:00 PM,620
E,01/03/2023 01:30:00 PM,547
W,01/03/2023 01:45:00 PM,599
E,01/03/2023 01:45:00 PM,525
W,01/03/2023 02:00:00 PM,615
E,01/03/2023 02:00:00 PM,528
W,01/03/2023 02:15:00 PM,613
E,01/03/2023 02:15:00 PM,522
W,01/03/2023 02:30:00 PM,686
E,01/03/2023 02:30:00 PM,572
W,01/03/2023 02:45:00 PM,703
E,01/03/2023 02:45:00 PM,543
W,01/03/2023 03:00:00 PM,758
E,01/03/2023 03:00:00 PM,510
W,01/03/2023 03:15:00 PM,825
E,01/03/2023 03:15:00 PM,506
W,01/03/2023 03:30:00 PM,893
E,01/03/2023 03:30:00 PM,575
W,01/03/2023 03:45:00 PM,959
E,01/03/2023 03:45:00 PM,529
W,01/03/2023 04:00:00 PM,993
E,01/03/2023 04:00:00 PM,482
W,01/03/2023 04:15:00 PM,1156
E,01/03/2023 04:15:00 PM,490
W,01/03/2023 04:30:00 PM,1143
E,01/03/2023 04:30:00 PM,558
W,01/03/2023 04:45:00 PM,1096
E,01/03/2023 04:45:00 PM,479
W,01/03/2023 05:00:00 PM,1054
E,01/03/2023 05:00:00 PM,449
W,01/03/2023 05:15:00 PM,1019
E,01/03/2023 05:15:00 PM,455
W,01/03/2023 05:30:00 PM,918
E,01/03/2023 05:30:00 PM,448
W,01/03/2023 05:45:00 PM,723
E,01/03/2023 05:45:00 PM,417
W,01/03/2023 06:00:00 PM,644
E,01/03/2023 06:00:00 PM,446
W,01/03/2023 06:15:00 PM,529
E,01/03/2023 06:15:00 PM,415
W,01/03/2023 06:30:00 PM,490
E,01/03/2023 06:30:00 PM,373
W,01/03/2023 06:45:00 PM,459
E,01/03/2023 06:45:00 PM,335
W,01/03/2023 07:00:00 PM,406
E,01/03/2023 07:00:00 PM,302
W,01/03/2023 07:15:00 PM,382
E,01/03/2023 07:15:00 PM,253
W,01/03/2023 07:30:00 PM,360
E,01/03/2023 07:30:00 PM,231
W,01/03/2023 07:45:00 PM,298
E,01/03/2023 07:45:00 PM,202
W,01/03/2023 08:00:00 PM,322
E,01/03/2023 08:00:00 PM,222
W,01/03/2023 08:15:00 PM,361
E,01/03/2023 08:15:00 PM,185
W,01/03/2023 08:30:00 PM,271
E,01/03/2023 08:30:00 PM,178
W,01/03/2023 08:45:00 PM,284
E,01/03/2023 08:45:00 PM,198
W,01/03/2023 09:00:00 PM,259
E,01/03/2023 09:00:00 PM,151
W,01/03/2023 09:15:00 PM,280
E,01/03/2023 09:15:00 PM,159
W,01/03/2023 09:30:00 PM,222
E,01/03/2023 09:30:00 PM,119
W,01/03/2023 09:45:00 PM,170
E,01/03/2023 09:45:00 PM,135
W,01/03/2023 10:00:00 PM,160
E,01/03/2023 10:00:00 PM,124
W,01/03/2023 10:15:00 PM,163
E,01/03/2023 10:15:00 PM,107
W,01/03/2023 10:30:00 PM,132
E,01/03/2023 10:30:00 PM,116
W,01/03/2023 10:45:00 PM,101
E,01/03/2023 10:45:00 PM,93
W,01/03/2023 11:00:00 PM,106
E,01/03/2023 11:00:00 PM,88
W,01/03/2023 11:15:00 PM,119
E,01/03/2023 11:15:00 PM,67
W,01/03/2023 11:30:00 PM,127
E,01/03/2023 11:30:00 PM,49
W,01/03/2023 11:45:00 PM,92
E,01/03/2023 11:45:00 PM,47
W,01/04/2023 12:00:00 AM,67
E,01/04/2023 12:00:00 AM,57
W,01/04/2023 12:15:00 AM,61
E,01/04/2023 12:15:00 AM,37
W,01/04/2023 12:30:00 AM,55
E,01/04/2023 12:30:00 AM,26
W,01/04/2023 12:45:00 AM,40
E,01/04/2023 12:45:00 AM,38
W,01/04/2023 01:00:00 AM,35
E,01/04/2023 01:00:00 AM,19
W,01/04/2023 01:15:00 AM,45
E,01/04/2023 01:15:00 AM,25
W,01/04/2023 01:30:00 AM,32
E,01/04/2023 01:30:00 AM,24
W,01/04/2023 01:45:00 AM,17
E,01/04/2023 01:45:00 AM,15
W,01/04/2023 02:00:00 AM,30
E,01/04/2023 02:00:00 AM,13
W,01/04/2023 02:15:00 AM,17
E,01/04/2023 02:15:00 AM,16
W,01/04/2023 02:30:00 AM,21
E,01/04/2023 02:30:00 AM,16
W,01/04/2023 02:45:00 AM,18
E,01/04/2023 02:45:00 AM,17
W,01/04/2023 03:00:00 AM,22
E,01/04/2023 03:00:00 AM,29
W,01/04/2023 03:15:00 AM,26
E,01/04/2023 03:15:00 AM,31
W,01/04/2023 03:30:00 AM,17
E,01/04/2023 03:30:00 AM,27
W,01/04/2023 03:45:00 AM,18
E,01/04/2023 03:45:00 AM,27
W,01/04/2023 04:00:00 AM,19
E,01/04/2023 04:00:00 AM,29
W,01/04/2023 04:15:00 AM,11
E,01/04/2023 04:15:00 AM,30
W,01/04/2023 04:30:00 AM,31
E,01/04/2023 04:30:00 AM,58
W,01/04/2023 04:45:00 AM,23
E,01/04/2023 04:45:00 AM,36
W,01/04/2023 05:00:00 AM,31
E,01/04/2023 05:00:00 AM,72
W,01/04/2023 05:15:00 AM,46
E,01/04/2023 05:15:00 AM,136
W,01/04/2023 05:30:00 AM,63
E,01/04/2023 05:30:00 AM,214
W,01/04/2023 05:45:00 AM,67
E,01/04/2023 05:45:00 AM,167
W,01/04/2023 06:00:00 AM,60
E,01/04/2023 06:00:00 AM,242
W,01/04/2023 06:15:00 AM,126
E,01/04/2023 06:15:00 AM,397
W,01/04/2023 06:30:00 AM,157
E,01/04/2023 06:30:00 AM,650
W,01/04/2023 06:45:00 AM,207
E,01/04/2023 06:45:00 AM,561
W,01/04/2023 07:00:00 AM,222
E,01/04/2023 07:00:00 AM,677
W,01/04/2023 07:15:00 AM,243
E,01/04/2023 07:15:00 AM,881
W,01/04/2023 07:30:00 AM,278
E,01/04/2023 07:30:00 AM,860
W,01/04/2023 07:45:00 AM,343
E,01/04/2023 07:45:00 AM,728
W,01/04/2023 08:00:00 AM,295
E,01/04/2023 08:00:00 AM,641
W,01/04/2023 08:15:00 AM,340
E,01/04/2023 08:15:00 AM,703
W,01/04/2023 08:30:00 AM,381
E,01/04/2023 08:30:00 AM,701
W,01/04/2023 08:45:00 AM,357
E,01/04/2023 08:45:00 AM,600
W,01/04/2023 09:00:00 AM,369
E,01/04/2023 09:00:00 AM,532
W,01/04/2023 09:15:00 AM,403
E,01/04/2023 09:15:00 AM,529
W,01/04/2023 09:30:00 AM,366
E,01/04/2023 09:30:00 AM,596
W,01/04/2023 09:45:00 AM,437
E,01/04/2023 09:45:00 AM,564
W,01/04/2023 10:00:00 AM,380
E,01/04/2023 10:00:00 AM,456
W,01/04/2023 10:15:00 AM,397
E,01/04/2023 10:15:00 AM,527
W,01/04/2023 10:30:00 AM,422
E,01/04/2023 10:30:00 AM,546
W,01/04/2023 10:45:00 AM,466
